,Antibiotic,Route,Combo,vtm_nm,vtm_id,vmp_nm,vmp_id,descr,England-adapted 2019 AWaRe category,UK-adapted 2024 AWaRe category
465,Amikacin,,False,Amikacin,774534000,Amikacin 100mg/2ml solution for injection vials,35899811000001104,solutioninjection.intramuscular,Watch,Watch
466,Amikacin,,False,Amikacin,774534000,Amikacin 100mg/2ml solution for injection vials,35899811000001104,solutioninjection.intravenous,Watch,Watch
467,Amikacin,,False,Amikacin,774534000,Amikacin 100mg/2ml solution for injection vials,35899811000001104,solutioninfusion.intravenous,Watch,Watch
87,Amikacin,,False,Amikacin,774534000,Amikacin 2.5% eye drops preservative free,33516711000001107,liquiddrops.ophthalmic,Watch,Watch
37,Amikacin,,False,Amikacin,774534000,Amikacin 25mg/5ml solution for injection ampoules,44007311000001107,solutioninjection.intrathecal,Watch,Watch
76,Amikacin,,False,Amikacin,774534000,Amikacin 25mg/5ml solution for injection pre-filled syringes,35104511000001105,solutioninjection.intrathecal,Watch,Watch
75,Amikacin,,False,Amikacin,774534000,Amikacin 25mg/5ml solution for injection vials,35111911000001104,solutioninjection.intrathecal,Watch,Watch
70,Amikacin,,False,Amikacin,774534000,Amikacin 400micrograms/0.1ml intravitreal injection kit,38244211000001108,solutioninjection.intravitreal,Watch,Watch
43,Amikacin,,False,Amikacin,774534000,Amikacin 500mg/100ml infusion polyethylene bottles,41823511000001108,solutioninfusion.intravenous,Watch,Watch
30,Amikacin,,False,Amikacin,774534000,Amikacin 500mg/2ml solution for injection ampoules,44422511000001103,solutioninjection.intramuscular,Watch,Watch
31,Amikacin,,False,Amikacin,774534000,Amikacin 500mg/2ml solution for injection ampoules,44422511000001103,solutioninjection.intravenous,Watch,Watch
32,Amikacin,,False,Amikacin,774534000,Amikacin 500mg/2ml solution for injection ampoules,44422511000001103,solutioninfusion.intravenous,Watch,Watch
462,Amikacin,,False,Amikacin,774534000,Amikacin 500mg/2ml solution for injection vials,35899911000001109,solutioninjection.intramuscular,Watch,Watch
463,Amikacin,,False,Amikacin,774534000,Amikacin 500mg/2ml solution for injection vials,35899911000001109,solutioninjection.intravenous,Watch,Watch
464,Amikacin,,False,Amikacin,774534000,Amikacin 500mg/2ml solution for injection vials,35899911000001109,solutioninfusion.intravenous,Watch,Watch
233,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 125mg/1.25ml oral suspension paediatric,35368511000001109,suspension.oral,Access,Access
196,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 125mg/5ml oral suspension,41940811000001105,suspension.oral,Access,Access
197,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 125mg/5ml oral suspension sugar free,35901911000001104,suspension.oral,Access,Access
768,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 1g dispersible tablets sugar free,38726811000001109,tabletdispersible.oral,Access,Access
307,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 1g powder for solution for injection vials,41940911000001100,solutioninjection.intramuscular,Access,Access
308,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 1g powder for solution for injection vials,41940911000001100,solutioninjection.intravenous,Access,Access
309,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 1g powder for solution for injection vials,41940911000001100,solutioninfusion.intravenous,Access,Access
184,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 250mg capsules,39732311000001104,capsule.oral,Access,Access
304,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 250mg powder for solution for injection vials,41941011000001108,solutioninjection.intramuscular,Access,Access
305,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 250mg powder for solution for injection vials,41941011000001108,solutioninjection.intravenous,Access,Access
306,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 250mg powder for solution for injection vials,41941011000001108,solutioninfusion.intravenous,Access,Access
194,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 250mg/5ml oral suspension,41941111000001109,suspension.oral,Access,Access
195,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 250mg/5ml oral suspension sugar free,39021911000001105,suspension.oral,Access,Access
322,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 3g oral powder sachets sugar free,35902111000001107,suspension.oral,Access,Access
185,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 500mg capsules,39732411000001106,capsule.oral,Access,Access
301,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 500mg powder for solution for injection vials,41941211000001103,solutioninjection.intramuscular,Access,Access
302,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 500mg powder for solution for injection vials,41941211000001103,solutioninjection.intravenous,Access,Access
303,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 500mg powder for solution for injection vials,41941211000001103,solutioninfusion.intravenous,Access,Access
