dmd,Antibiotic,Class,atccode,route,VmpUnit,WHO_AWaRe_2023,UK_AWaRe_2024,Include,Notes,vmp_id,vmp_nm,invalid_vmp,vtm_id,vtm_nm,atc_route,atc
Amikacin 100mg/2ml solution for injection vials,Amikacin,Aminoglycosides,J01GB06,P,ml,a,w,1,,35899811000001104,Amikacin 100mg/2ml solution for injection vials,False,774534000,Amikacin,P,J01GB06
Amikacin 1165mg/100ml solution for injection vials,Amikacin,Aminoglycosides,J01GB06,P,ml,a,w,1,,,,,,,,
Amikacin 1200mg solution for injection vials,Amikacin,Aminoglycosides,J01GB06,P,ml,a,w,1,,,,,,,,
Amikacin 1300mg/50ml solution for injection vials,Amikacin,Aminoglycosides,J01GB06,P,ml,a,w,1,,,,,,,,
Amikacin 250mg/2ml injection,Amikacin,Aminoglycosides,J01GB06,P,ml,a,w,1,,,,,,,,
Amikacin 25mg/5ml solution for injection vials,Amikacin,Aminoglycosides,J01GB06,P,ml,a,w,1,,35111911000001104,Amikacin 25mg/5ml solution for injection vials,False,774534000,Amikacin,,J01GB06
Amikacin 500mg/100ml infusion polyethylene bottles,Amikacin,Aminoglycosides,J01GB06,P,ml,a,w,1,,41823511000001108,Amikacin 500mg/100ml infusion polyethylene bottles,False,774534000,Amikacin,P,J01GB06
Amikacin 500mg/2ml solution for injection vials,Amikacin,Aminoglycosides,J01GB06,P,ml,a,w,1,,35899911000001109,Amikacin 500mg/2ml solution for injection vials,False,774534000,Amikacin,P,J01GB06
Amikacin 500mg/2ml solution for injection ampoules,Amikacin,Aminoglycosides,J01GB06,P,ml,a,w,1,,44422511000001103,Amikacin 500mg/2ml solution for injection ampoules,False,774534000,Amikacin,P,
Amikacin liposomal 590mg nebuliser dispersion vials with device,Amikacin,Aminoglycosides,J01GB06,INH,vial,a,w,1,,39601711000001109,Amikacin liposomal 590mg nebuliser dispersion vials with device,False,782421008,Amikacin liposomal,Inhal.solution,J01GB06
Amoxicillin 125mg/1.25ml oral suspension paediatric,Amoxicillin,Penicillins,J01CA04,O,ml,a,a,1,,35368511000001109,Amoxicillin 125mg/1.25ml oral suspension paediatric,False,774586009,Amoxicillin,O,J01CA04
Amoxicillin 125mg/5ml oral suspension,Amoxicillin,Penicillins,J01CA04,O,ml,a,a,1,,41940811000001105,Amoxicillin 125mg/5ml oral suspension,False,774586009,Amoxicillin,O,J01CA04
Amoxicillin 125mg/5ml oral suspension sugar free,Amoxicillin,Penicillins,J01CA04,O,ml,a,a,1,,35901911000001104,Amoxicillin 125mg/5ml oral suspension sugar free,False,774586009,Amoxicillin,O,J01CA04
Amoxicillin 1g dispersible tablets sugar free,Amoxicillin,Penicillins,J01CA04,O,tablet,a,a,1,,38726811000001109,Amoxicillin 1g dispersible tablets sugar free,False,774586009,Amoxicillin,O,J01CA04
Amoxicillin 1g powder for solution for injection vials,Amoxicillin,Penicillins,J01CA04,P,vial,a,a,1,,41940911000001100,Amoxicillin 1g powder for solution for injection vials,False,774586009,Amoxicillin,P,J01CA04
Amoxicillin 250mg capsules,Amoxicillin,Penicillins,J01CA04,O,capsule,a,a,1,,39732311000001104,Amoxicillin 250mg capsules,False,774586009,Amoxicillin,O,J01CA04
Amoxicillin 250mg powder for solution for injection vials,Amoxicillin,Penicillins,J01CA04,P,vial,a,a,1,,41941011000001108,Amoxicillin 250mg powder for solution for injection vials,False,774586009,Amoxicillin,P,J01CA04
Amoxicillin 250mg/5ml oral suspension,Amoxicillin,Penicillins,J01CA04,O,ml,a,a,1,,41941111000001109,Amoxicillin 250mg/5ml oral suspension,False,774586009,Amoxicillin,O,J01CA04
Amoxicillin 250mg/5ml oral suspension sugar free,Amoxicillin,Penicillins,J01CA04,O,ml,a,a,1,,39021911000001105,Amoxicillin 250mg/5ml oral suspension sugar free,False,774586009,Amoxicillin,O,J01CA04
Amoxicillin 3g oral powder sachets sugar free,Amoxicillin,Penicillins,J01CA04,O,sachet,a,a,1,,35902111000001107,Amoxicillin 3g oral powder sachets sugar free,False,774586009,Amoxicillin,O,J01CA04
Amoxicillin 500mg capsules,Amoxicillin,Penicillins,J01CA04,O,capsule,a,a,1,,39732411000001106,Amoxicillin 500mg capsules,False,774586009,Amoxicillin,O,J01CA04
Amoxicillin 500mg powder for solution for injection vials,Amoxicillin,Penicillins,J01CA04,P,vial,a,a,1,,41941211000001103,Amoxicillin 500mg powder for solution for injection vials,False,774586009,Amoxicillin,P,J01CA04
Amoxicillin 500mg/50ml infusion bags,Amoxicillin,Penicillins,J01CA04,P,vial,a,a,1,,34226911000001109,Amoxicillin 500mg/50ml infusion bags,False,774586009,Amoxicillin,P,J01CA04
Amoxicillin 500mg/5ml oral suspension sugar free,Amoxicillin,Penicillins,J01CA04,O,ml,a,a,1,,41941311000001106,Amoxicillin 500mg/5ml oral suspension sugar free,False,774586009,Amoxicillin,O,J01CA04
Ampicillin 125mg/5ml oral suspension,Ampicillin,Penicillins,J01CA01,O,ml,a,a,1,,41941411000001104,Ampicillin 125mg/5ml oral suspension,False,774590006,Ampicillin,O,J01CA01
Ampicillin 250mg capsules,Ampicillin,Penicillins,J01CA01,O,capsule,a,a,1,,41941511000001100,Ampicillin 250mg capsules,False,774590006,Ampicillin,O,J01CA01
Ampicillin 250mg/5ml oral suspension,Ampicillin,Penicillins,J01CA01,O,ml,a,a,1,,41941611000001101,Ampicillin 250mg/5ml oral suspension,False,774590006,Ampicillin,O,J01CA01
Ampicillin 500mg capsules,Ampicillin,Penicillins,J01CA01,O,capsule,a,a,1,,41941711000001105,Ampicillin 500mg capsules,False,774590006,Ampicillin,O,J01CA01
Ampicillin 500mg powder for solution for injection vials,Ampicillin,Penicillins,J01CA01,P,vial,a,a,1,,41941811000001102,Ampicillin 500mg powder for solution for injection vials,False,774590006,Ampicillin,P,J01CA01
Ampicillin 500mg powder for solution for injection vials,Ampicillin,Penicillins,J01CA01,P,vial,a,a,1,,41941811000001102,Ampicillin 500mg powder for solution for injection vials,False,774590006,Ampicillin,,J01CA01
Azithromycin 200mg/5ml oral suspension,Azithromycin,Macrolides,J01FA10,O,ml,w,w,1,,41941911000001107,Azithromycin 200mg/5ml oral suspension,False,774722005,Azithromycin,O,J01FA10
