Antibiotic,nm,id,atc_route,aware_2019,aware_2024
Amikacin,Amikacin liposomal,782421008.0,,Watch,Watch
Amikacin,Amikacin,774534000.0,,Watch,Watch
Amoxicillin,Amoxicillin,774586009.0,,Access,Access
Ampicillin,Ampicillin + Flucloxacillin,774592003.0,,Access,Access
Ampicillin,Ampicillin,774590006.0,,Access,Access
Azithromycin,Azithromycin,774722005.0,,Watch,Watch
Aztreonam,Aztreonam + Avibactam,4.379671100000111e+16,,Reserve,Reserve
Aztreonam,Aztreonam,774725007.0,,Reserve,Reserve
Benzathine benzylpenicillin,Benzathine benzylpenicillin,1234764000.0,,Access,Access
Benzylpenicillin,Benzylpenicillin,774826003.0,,Access,Access
Cefaclor,Cefaclor,775086009.0,,Watch,Watch
Cefadroxil,Cefadroxil,775087000.0,,Watch,Access
Cefalexin,Cefalexin,775088005.0,,Watch,Access
Cefalotin,,,,Watch,Access
Cefamandole,Cefamandole,775090006.0,,Watch,Watch
Cefazolin,Cefazolin,775092003.0,,Watch,Access
Cefepime,Cefepime,775095001.0,,Watch,Watch
Cefepime,Cefepime + Enmetazobactam,4.28942110000011e+16,,Watch,Watch
Cefiderocol,Cefiderocol,830205006.0,,Reserve,Reserve
Cefixime,Cefixime,775097009.0,,Watch,Watch
Cefotaxime,Cefotaxime,775103002.0,,Watch,Watch
Cefoxitin,Cefoxitin,775107001.0,,Watch,Watch
Cefradine,Cefradine,775112000.0,,Watch,Access
Ceftaroline fosamil,Ceftaroline fosamil,2.1387311000001104e+16,,Reserve,Reserve
Ceftazidime,Ceftazidime,775115003.0,,Watch,Watch
Ceftazidime + Avibactam,Ceftazidime + Avibactam,781300005.0,,Reserve,Reserve
Ceftobiprole,Ceftobiprole,1287090001.0,,Reserve,Reserve
Ceftolozane + Tazobactam,Ceftolozane + Tazobactam,775119009.0,,Reserve,Reserve
Ceftriaxone,Ceftriaxone,775120003.0,,Watch,Watch
Cefuroxime,Cefuroxime,775121004.0,,Watch,Watch
Chloramphenicol,Chloramphenicol,775160002.0,,Watch,Watch
Cilastatin + Imipenem + Relebactam,Cilastatin + Imipenem + Relebactam,789074009.0,,Reserve,Reserve
Ciprofloxacin,Ciprofloxacin + Fluocinolone acetonide,3.58731110000011e+16,,Watch,Watch
Ciprofloxacin,Ciprofloxacin + Dexamethasone,775262002.0,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009.0,,Watch,Watch
Clarithromycin,Clarithromycin,775277005.0,,Watch,Watch
Clindamycin,Benzoyl peroxide + Clindamycin,774812007.0,,Watch,Watch
Clindamycin,Clindamycin,775288004.0,,Watch,Watch
Clindamycin,Clindamycin + Hydrocortisone,2.2207511000001104e+16,,Watch,Watch
Clindamycin,Clindamycin + Tretinoin,775289007.0,,Watch,Watch
Co-amoxiclav,Co-amoxiclav,774587000.0,,Watch,Watch
Co-trimoxazole,Co-trimoxazole,1.8037511000001104e+16,,Access,Access
Colistin,Colistin,775373006.0,O,Reserve,Reserve
Colistin,Colistin,775373006.0,P,Reserve,Reserve
Dalbavancin,Dalbavancin,775437000.0,,Reserve,Reserve
Daptomycin,Daptomycin,775451000.0,,Reserve,Reserve
Delafloxacin,Delafloxacin,775469009.0,,Watch,Watch
Demeclocycline,Demeclocycline,775476004.0,,Watch,Other
Doripenem,Doripenem,775689001.0,,Reserve,Reserve
Doxycycline,Doxycycline,775698003.0,,Access,Access
Doxycycline,Betamethasone + Doxycycline + Nystatin,4.05888110000011e+16,,Access,Access
Eravacycline,Eravacycline,775807004.0,,Reserve,Reserve
Ertapenem,Ertapenem,775820001.0,,Reserve,Reserve
Erythromycin,Isotretinoin + Erythromycin,775823004.0,,Watch,Watch
Erythromycin,Benzoyl peroxide + Erythromycin,774813002.0,,Watch,Watch
Erythromycin,Erythromycin ethyl succinate,3.64085110000011e+16,,Watch,Watch
Erythromycin,Erythromycin,775822009.0,,Watch,Watch
Erythromycin,Erythromycin stearate,3.64086110000011e+16,,Watch,Watch
Erythromycin,Tretinoin + Erythromycin,775825006.0,,Watch,Watch
Erythromycin,Erythromycin + Zinc acetate,775827003.0,,Watch,Watch
Erythromycin,Erythromycin lactobionate,3.64095110000011e+16,,Watch,Watch
Fidaxomicin,Fidaxomicin,775961002.0,,Watch,Watch
Flucloxacillin,Flucloxacillin,775979003.0,,Access,Access
Fosfomycin,Fosfomycin,776041001.0,P,Reserve,Reserve
Fosfomycin,Fosfomycin,776041001.0,O,Access,Access
Fusidic acid,Betamethasone + Fusidic acid,774843000.0,,Access,Watch
Fusidic acid,Hydrocortisone + Fusidic acid,776059003.0,,Access,Watch
Fusidic acid,Fusidic acid,776058006.0,,Access,Watch
Gentamicin,Gentamicin,776094005.0,,Access,Access
Gentamicin,Gentamicin + Hydrocortisone,776095006.0,,Access,Access
Imipenem + Cilastatin,Imipenem + Cilastatin,775245007.0,,Reserve,Reserve
Levofloxacin,Levofloxacin,776517005.0,,Watch,Watch
Levofloxacin,Dexamethasone + Levofloxacin,1286887000.0,,Watch,Watch
Linezolid,Linezolid,776544000.0,,Reserve,Reserve
Lymecycline,Lymecycline,776593005.0,,Watch,Watch
Meropenem,Meropenem,776694006.0,,Reserve,Reserve
Meropenem + Vaborbactam,Meropenem + Vaborbactam,776695007.0,,Reserve,Reserve
Methenamine,Methenamine,776725009.0,,Other,Other
Metronidazole,Metronidazole,776774005.0,,Access,Access
Minocycline,Minocycline,776800005.0,O,Watch,Watch
Moxifloxacin,Moxifloxacin,776831003.0,,Watch,Watch
Nalidixic Acid,,,,Other,Other
Neomycin,Clobetasol + Neomycin + Nystatin,775296009.0,,Watch,Watch
Neomycin,Neomycin + Gramicidin,776145007.0,,Watch,Watch
Neomycin,Fluocinolone acetonide + Neomycin,2.26369110000011e+16,,Watch,Watch
Neomycin,Neomycin + Triamcinolone,776890000.0,,Watch,Watch
Neomycin,Neomycin + Chlorhexidine,775170000.0,,Watch,Watch
Neomycin,Betamethasone + Neomycin,774844006.0,,Watch,Watch
Neomycin,Neomycin + Prednisolone,776889009.0,,Watch,Watch
Neomycin,Hydrocortisone + Neomycin,776254002.0,,Watch,Watch
Neomycin,Neomycin,776885003.0,,Watch,Watch
Nitrofurantoin,Nitrofurantoin,776927008.0,,Access,Access
Norfloxacin,Norfloxacin,776943001.0,,Watch,Watch
Ofloxacin,Ofloxacin,776973005.0,,Watch,Watch
Oritavancin,Oritavancin,777001001.0,,Reserve,Reserve
Oxytetracycline,Oxytetracycline + Hydrocortisone,776257009.0,,Watch,Watch
Oxytetracycline,Clobetasone + Oxytetracycline + Nystatin,775299002.0,,Watch,Watch
Oxytetracycline,Oxytetracycline,777035003.0,,Watch,Watch
Phenoxymethylpenicillin,Phenoxymethylpenicillin,777175009.0,,Access,Access
Piperacillin + Tazobactam,Piperacillin + Tazobactam,777212006.0,,Watch,Watch
Pivmecillinam,Pivmecillinam,777227006.0,,Access,Access
Pristinamycin,Pristinamycin,1.6251011000001104e+16,,Watch,Other
Procaine benzylpenicillin,Procaine benzylpenicillin,1234762001.0,,Access,Access
Quinupristin + Dalfopristin,Quinupristin + Dalfopristin,775439002.0,,Reserve,Reserve
Spectinomycin,Spectinomycin,777600004.0,,Other,Other
Spiramycin,Spiramycin,777602007.0,,Other,Other
Streptomycin,Streptomycin,777614004.0,P,Other,Other
Sulfadiazine,Cerium nitrate + Sulfadiazine silver,4.27791110000011e+16,,Other,Other
Sulfadiazine,Sulfadiazine silver,864008004.0,,Other,Other
Sulfadiazine,Sulfadiazine,777532008.0,,Other,Other
Sulfamethoxypyridazine,Sulfamethoxypyridazine,777643007.0,,Other,Other
Sulfapyridine,Sulfapyridine,1.5465811000001106e+16,,Other,Other
Tedizolid,Tedizolid,777686007.0,,Reserve,Reserve
Teicoplanin,Teicoplanin,777691008.0,,Watch,Watch
Telavancin,Telavancin,777693006.0,,Reserve,Reserve
Temocillin,Temocillin,777700006.0,,Watch,Watch
Tetracycline,Tetracycline,777730003.0,,Access,Access
Tigecycline,Tigecycline,777769009.0,,Reserve,Reserve
Tinidazole,Tinidazole,777775000.0,,Other,Access
Tobramycin,Tobramycin,777791002.0,,Watch,Watch
Tobramycin,Dexamethasone + Tobramycin,775502001.0,,Watch,Watch
Trimethoprim,Trimethoprim,777858001.0,,Access,Access
Trimethoprim,Polymyxin B + Trimethoprim,777247003.0,,Access,Access
Vancomycin,Vancomycin,777914002.0,,Watch,Watch
